date,indicator,value,unit,series_code
2026-04-13,selic_target,14.7500,pct_per_year,432
2026-04-14,ipca_monthly,0.6700,pct_per_month,433
2026-04-14,selic_target,14.7500,pct_per_year,432
2026-04-15,ipca_monthly,0.6700,pct_per_month,433
2026-04-15,selic_target,14.7500,pct_per_year,432
2026-04-16,ipca_monthly,0.6700,pct_per_month,433
2026-04-16,selic_target,14.7500,pct_per_year,432
2026-04-17,ipca_monthly,0.6700,pct_per_month,433
2026-04-17,selic_target,14.7500,pct_per_year,432
2026-04-20,ipca_monthly,0.6700,pct_per_month,433
2026-04-20,selic_target,14.7500,pct_per_year,432
2026-04-21,ipca_monthly,0.6700,pct_per_month,433
2026-04-21,selic_target,14.7500,pct_per_year,432
2026-04-22,ipca_monthly,0.6700,pct_per_month,433
2026-04-22,selic_target,14.7500,pct_per_year,432
2026-04-23,ipca_monthly,0.6700,pct_per_month,433
2026-04-23,selic_target,14.7500,pct_per_year,432
2026-04-24,ipca_monthly,0.6700,pct_per_month,433
2026-04-24,selic_target,14.7500,pct_per_year,432
2026-04-27,ipca_monthly,0.6700,pct_per_month,433
2026-04-27,selic_target,14.7500,pct_per_year,432
2026-04-28,ipca_monthly,0.6700,pct_per_month,433
2026-04-28,selic_target,14.7500,pct_per_year,432
2026-04-29,ipca_monthly,0.6700,pct_per_month,433
2026-04-29,selic_target,14.7500,pct_per_year,432
2026-04-30,ipca_monthly,0.6700,pct_per_month,433
2026-04-30,selic_target,14.5000,pct_per_year,432
2026-05-01,ipca_monthly,0.5800,pct_per_month,433
2026-05-01,selic_target,14.5000,pct_per_year,432
2026-05-04,ipca_monthly,0.5800,pct_per_month,433
2026-05-04,selic_target,14.5000,pct_per_year,432
2026-05-05,ipca_monthly,0.5800,pct_per_month,433
2026-05-05,selic_target,14.5000,pct_per_year,432
2026-05-06,ipca_monthly,0.5800,pct_per_month,433
2026-05-06,selic_target,14.5000,pct_per_year,432
2026-05-07,ipca_monthly,0.5800,pct_per_month,433
